Model          deltaAIC       AIC            AICw           -lnL
LG+G           0.00           2307760.40     0.73           -1153648.20
LG+I+G         2.00           2307762.40     0.27           -1153648.20
WAG+G          10354.78       2318115.18     0.00           -1158825.59
WAG+I+G        10356.78       2318117.18     0.00           -1158825.59
RtREV+G        21582.36       2329342.76     0.00           -1164439.38
RtREV+I+G      21584.36       2329344.76     0.00           -1164439.38
JTT+G          22363.39       2330123.79     0.00           -1164829.90
JTT+I+G        22365.39       2330125.79     0.00           -1164829.90
CpREV+G        32289.82       2340050.22     0.00           -1169793.11
CpREV+I+G      32291.82       2340052.22     0.00           -1169793.11
Blosum62+G     33432.67       2341193.07     0.00           -1170364.53
Blosum62+I+G   33434.67       2341195.07     0.00           -1170364.53
Dayhoff+G      33845.33       2341605.73     0.00           -1170570.86
Dayhoff+I+G    33847.33       2341607.73     0.00           -1170570.86
DCMut+G        34054.76       2341815.16     0.00           -1170675.58
DCMut+I+G      34056.76       2341817.16     0.00           -1170675.58
VT+G           42208.61       2349969.01     0.00           -1174752.50
VT+I+G         42210.61       2349971.01     0.00           -1174752.50
HIVb+G         111478.31      2419238.71     0.00           -1209387.35
HIVb+I+G       111480.31      2419240.71     0.00           -1209387.35
MtREV+G        142811.75      2450572.15     0.00           -1225054.07
MtREV+I+G      142813.75      2450574.15     0.00           -1225054.07
MtArt+G        156178.34      2463938.74     0.00           -1231737.37
MtArt+I+G      156180.34      2463940.74     0.00           -1231737.37
LG             187101.36      2494861.76     0.00           -1247199.88
LG+I           187103.36      2494863.76     0.00           -1247199.88
WAG            189664.08      2497424.48     0.00           -1248481.24
WAG+I          189666.08      2497426.48     0.00           -1248481.24
RtREV          208365.84      2516126.24     0.00           -1257832.12
RtREV+I        208367.84      2516128.24     0.00           -1257832.12
Blosum62       209333.16      2517093.56     0.00           -1258315.78
Blosum62+I     209335.16      2517095.56     0.00           -1258315.78
JTT            210217.72      2517978.12     0.00           -1258758.06
JTT+I          210219.72      2517980.12     0.00           -1258758.06
CpREV          216825.22      2524585.61     0.00           -1262061.81
CpREV+I        216827.22      2524587.61     0.00           -1262061.81
HIVw+G         220610.44      2528370.84     0.00           -1263953.42
HIVw+I+G       220612.44      2528372.84     0.00           -1263953.42
DCMut          225070.91      2532831.31     0.00           -1266184.65
DCMut+I        225072.91      2532833.31     0.00           -1266184.65
Dayhoff        225109.12      2532869.52     0.00           -1266203.76
Dayhoff+I      225111.12      2532871.52     0.00           -1266203.76
MtMam+G        228324.66      2536085.05     0.00           -1267810.53
MtMam+I+G      228326.66      2536087.05     0.00           -1267810.53
VT             231767.67      2539528.07     0.00           -1269533.03
VT+I           231769.67      2539530.07     0.00           -1269533.03
HIVb           337690.23      2645450.63     0.00           -1322494.32
HIVb+I         337692.23      2645452.63     0.00           -1322494.32
MtREV          359681.73      2667442.13     0.00           -1333490.07
MtREV+I        359683.73      2667444.13     0.00           -1333490.07
MtArt          427804.81      2735565.21     0.00           -1367551.60
MtArt+I        427806.81      2735567.21     0.00           -1367551.60
HIVw           459426.30      2767186.70     0.00           -1383362.35
HIVw+I         459428.30      2767188.70     0.00           -1383362.35
MtMam          514422.74      2822183.14     0.00           -1410860.57
MtMam+I        514424.74      2822185.14     0.00           -1410860.57

