"Model" "deltaAIC" "AIC" "-lnL" "pos"
"LG+G" 0 2307760.4 -1153648.2 1
"LG+I+G" 2 2307762.4 -1153648.2 2
"LG+G+F" 308.45 2308068.85 -1153783.42 3
"LG+I+G+F" 310.45 2308070.85 -1153783.42 4
"RtREV+G+F" 9627.87 2317388.27 -1158443.13 5
"RtREV+I+G+F" 9629.87 2317390.27 -1158443.13 6
"WAG+G" 10354.78 2318115.18 -1158825.59 7
"WAG+I+G" 10356.78 2318117.18 -1158825.59 8
"WAG+G+F" 13433.72 2321194.12 -1160346.06 9
"WAG+I+G+F" 13435.72 2321196.12 -1160346.06 10
"RtREV+G" 21582.36 2329342.76 -1164439.38 11
"RtREV+I+G" 21584.36 2329344.76 -1164439.38 12
"JTT+G" 22363.39 2330123.79 -1164829.9 13
"JTT+I+G" 22365.39 2330125.79 -1164829.9 14
"JTT+G+F" 23729.16 2331489.56 -1165493.78 15
"JTT+I+G+F" 23731.16 2331491.56 -1165493.78 16
"CpREV+G" 32289.82 2340050.22 -1169793.11 17
"CpREV+I+G" 32291.82 2340052.22 -1169793.11 18
"Dayhoff+G+F" 33000.15 2340760.55 -1170129.28 19
"Dayhoff+I+G+F" 33002.15 2340762.55 -1170129.28 20
"DCMut+G+F" 33166.33 2340926.73 -1170212.37 21
"DCMut+I+G+F" 33168.33 2340928.73 -1170212.37 22
"Blosum62+G" 33432.67 2341193.07 -1170364.53 23
"Blosum62+I+G" 33434.67 2341195.07 -1170364.53 24
"Dayhoff+G" 33845.33 2341605.73 -1170570.86 25
"Dayhoff+I+G" 33847.33 2341607.73 -1170570.86 26
"DCMut+G" 34054.76 2341815.16 -1170675.58 27
"DCMut+I+G" 34056.76 2341817.16 -1170675.58 28
"CpREV+G+F" 35406.16 2343166.56 -1171332.28 29
"CpREV+I+G+F" 35408.16 2343168.56 -1171332.28 30
"Blosum62+G+F" 35773.64 2343534.04 -1171516.02 31
"Blosum62+I+G+F" 35775.64 2343536.04 -1171516.02 32
"VT+G" 42208.61 2349969.01 -1174752.5 33
"VT+I+G" 42210.61 2349971.01 -1174752.5 34
"VT+G+F" 45245.44 2353005.84 -1176251.92 35
"VT+I+G+F" 45247.44 2353007.84 -1176251.92 36
"MtREV+G+F" 63793.9 2371554.3 -1185526.15 37
"MtREV+I+G+F" 63795.9 2371556.3 -1185526.15 38
"MtArt+G+F" 79025.99 2386786.38 -1193142.19 39
"MtArt+I+G+F" 79027.99 2386788.38 -1193142.19 40
"HIVb+G+F" 106052.96 2413813.36 -1206655.68 41
"HIVb+I+G+F" 106054.96 2413815.36 -1206655.68 42
"HIVb+G" 111478.31 2419238.71 -1209387.35 43
"HIVb+I+G" 111480.31 2419240.71 -1209387.35 44
"MtREV+G" 142811.75 2450572.15 -1225054.07 45
"MtREV+I+G" 142813.75 2450574.15 -1225054.07 46
"MtMam+G+F" 146623.82 2454384.22 -1226941.11 47
"MtMam+I+G+F" 146625.82 2454386.22 -1226941.11 48
"MtArt+G" 156178.34 2463938.74 -1231737.37 49
"MtArt+I+G" 156180.34 2463940.74 -1231737.37 50
"LG" 187101.36 2494861.76 -1247199.88 51
"LG+I" 187103.36 2494863.76 -1247199.88 52
"LG+F" 187368.96 2495129.36 -1247314.68 53
"LG+I+F" 187370.96 2495131.36 -1247314.68 54
"WAG" 189664.08 2497424.48 -1248481.24 55
"WAG+I" 189666.08 2497426.48 -1248481.24 56
"WAG+F" 193768.89 2501529.29 -1250514.64 57
"WAG+I+F" 193770.89 2501531.29 -1250514.64 58
"RtREV+F" 196982.77 2504743.17 -1252121.58 59
"RtREV+I+F" 196984.77 2504745.17 -1252121.58 60
"HIVw+G+F" 199859.16 2507619.56 -1253558.78 61
"HIVw+I+G+F" 199861.16 2507621.56 -1253558.78 62
"RtREV" 208365.84 2516126.24 -1257832.12 63
"RtREV+I" 208367.84 2516128.24 -1257832.12 64
"Blosum62" 209333.16 2517093.56 -1258315.78 65
"Blosum62+I" 209335.16 2517095.56 -1258315.78 66
"JTT" 210217.72 2517978.12 -1258758.06 67
"JTT+I" 210219.72 2517980.12 -1258758.06 68
"Blosum62+F" 211943.68 2519704.08 -1259602.04 69
"Blosum62+I+F" 211945.68 2519706.08 -1259602.04 70
"JTT+F" 212440.27 2520200.67 -1259850.33 71
"JTT+I+F" 212442.27 2520202.67 -1259850.33 72
"CpREV" 216825.22 2524585.61 -1262061.81 73
"CpREV+I" 216827.22 2524587.61 -1262061.81 74
"HIVw+G" 220610.44 2528370.84 -1263953.42 75
"HIVw+I+G" 220612.44 2528372.84 -1263953.42 76
"CpREV+F" 222791.37 2530551.76 -1265025.88 77
"CpREV+I+F" 222793.37 2530553.76 -1265025.88 78
"DCMut+F" 224100.48 2531860.88 -1265680.44 79
"DCMut+I+F" 224102.48 2531862.88 -1265680.44 80
"Dayhoff+F" 224186.31 2531946.71 -1265723.35 81
"Dayhoff+I+F" 224188.31 2531948.71 -1265723.35 82
"DCMut" 225070.91 2532831.31 -1266184.65 83
"DCMut+I" 225072.91 2532833.31 -1266184.65 84
"Dayhoff" 225109.12 2532869.52 -1266203.76 85
"Dayhoff+I" 225111.12 2532871.52 -1266203.76 86
"MtMam+G" 228324.66 2536085.05 -1267810.53 87
"MtMam+I+G" 228326.66 2536087.05 -1267810.53 88
"VT" 231767.67 2539528.07 -1269533.03 89
"VT+I" 231769.67 2539530.07 -1269533.03 90
"VT+F" 234627.47 2542387.87 -1270943.93 91
"VT+I+F" 234629.47 2542389.87 -1270943.93 92
"MtREV+F" 264407.49 2572167.89 -1285833.94 93
"MtREV+I+F" 264409.49 2572169.89 -1285833.94 94
"MtArt+F" 314291.42 2622051.82 -1310775.91 95
"MtArt+I+F" 314293.42 2622053.82 -1310775.91 96
"HIVb+F" 333921.3 2641681.7 -1320590.85 97
"HIVb+I+F" 333923.3 2641683.7 -1320590.85 98
"HIVb" 337690.23 2645450.63 -1322494.32 99
"HIVb+I" 337692.23 2645452.63 -1322494.32 100
"MtREV" 359681.73 2667442.13 -1333490.07 101
"MtREV+I" 359683.73 2667444.13 -1333490.07 102
"MtMam+F" 400965.38 2708725.78 -1354112.89 103
"MtMam+I+F" 400967.38 2708727.78 -1354112.89 104
"MtArt" 427804.81 2735565.21 -1367551.6 105
"MtArt+I" 427806.81 2735567.21 -1367551.6 106
"HIVw+F" 439288.01 2747048.41 -1373274.2 107
"HIVw+I+F" 439290.01 2747050.41 -1373274.2 108
"HIVw" 459426.3 2767186.7 -1383362.35 109
"HIVw+I" 459428.3 2767188.7 -1383362.35 110
"MtMam" 514422.74 2822183.14 -1410860.57 111
"MtMam+I" 514424.74 2822185.14 -1410860.57 112
